r,l,t
300,6015,73.011973
300,5092,154.100096
300,5293,237.561932
300,4216,304.535794
300,2865,335.415068
170,2218,382.030007
300,3730,423.289999
300,5246,506.467221
300,6518,608.08166
300,6406,705.285991
82,6879,841.943666
300,10674,1003.822647
300,9256,1124.23503
20,2021,1166.749872
134,4585,1220.161245
39,4098,1291.292994
300,4494,1375.262703
300,16637,1609.962712
179,2207,1649.993502
300,5071,1748.917896
300,3211,1784.90275
140,1832,1805.848494
171,1345,1847.262469
300,4107,1893.271001
208,1376,1926.013119
300,4097,1971.550979
300,7555,2105.481645
300,2420,2147.501014
171,2327,2174.309527
300,3294,2248.681297
300,3462,2288.929839
300,4548,2363.184166
300,3897,2448.858305
300,4397,2501.769449
249,3709,2595.857738
300,4505,2679.875608
300,3323,2720.518699
300,4647,2803.985064
300,5579,2927.588101
300,4597,3010.965476
300,2431,3038.223217
300,3316,3075.39954
300,2886,3138.222638
150,1989,3160.591075
214,2518,3204.57133
300,6323,3328.636025
300,5090,3389.822543
266,2415,3429.467873
26,2027,3456.829432
300,2263,3496.639026
300,2769,3529.570329
300,3120,3567.809238
300,5087,3632.259666
300,13142,3814.909439
300,2984,3870.420375
217,1052,3882.115624
111,578,3888.48022
300,2140,3913.612913
300,2556,3952.604496
112,812,3961.075979
300,3888,4050.276763
300,4841,4103.985129
300,1875,4161.990727
111,483,4167.407347
300,1848,4187.153984
300,6741,4323.623967
300,5956,4422.633317
277,6576,4520.806278
300,9378,4668.856964
