#{"t_start": 1587229206.9785824, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,5149,63.95456
110,2011,104.576533
300,5456,194.419859
300,5421,259.594532
300,4031,320.360485
300,3886,384.138568
300,5644,472.294553
300,4787,526.007218
300,9364,684.969741
300,7854,831.69635
104,797,841.094423
266,5345,919.59784
300,10771,1080.247289
221,5207,1156.113471
300,6225,1255.951878
300,4340,1304.017589
300,5047,1393.900354
300,5362,1482.415848
300,11629,1648.4119
300,8050,1781.569729
300,5680,1870.793105
300,3250,1925.085087
300,4657,1976.762994
300,9072,2142.353156
300,3265,2181.917592
300,4748,2270.576189
300,2090,2297.468928
300,2915,2350.146786
300,3351,2392.743193
300,4779,2483.9886
300,1831,2508.966027
251,2156,2581.889491
300,4269,2632.324207
300,4426,2719.806072
300,4823,2805.965891
300,3478,2843.551106
300,2376,2931.90954
292,3912,2980.031802
300,6493,3110.947687
300,2233,3136.299148
148,2025,3158.953584
206,1314,3176.719605
300,5631,3256.193892
201,2160,3329.409994
300,4474,3383.899201
287,4337,3449.917783
300,5938,3532.714934
147,1076,3547.320271
100,480,3552.869267
300,3133,3595.648649
300,2847,3627.561941
300,2725,3681.428327
300,2715,3714.43539
300,1957,3738.102287
220,2383,3772.940598
127,763,3781.991107
142,1536,3799.258491
300,6502,3893.471699
300,5413,3965.143299
300,3032,4044.355565
300,2743,4074.91626
283,1656,4093.116408
139,924,4103.550153
300,3195,4175.529714
300,3840,4277.228052
110,635,4284.118523
300,3352,4323.998451
106,2282,4381.992978
198,2722,4412.121553
300,2293,4442.645138
182,1710,4481.811602
152,4064,4527.727796
300,3796,4594.924161
300,8057,4702.562279
